"verbo","papel"
"aceder","Actor2"
"aceitar","Actor2"
"aconchegar","Actor2"
"acordar2","Actor2"
"admitir","Actor2"
"agir","Actor2"
"ajustar","Actor2"
"alcovitar","Actor2"
"altercar","Actor2"
"alvissarar","Actor2"
"amigar","Actor2"
"amistar","Actor2"
"andar","Actor2"
"aninhar","Actor2"
"anuir","Actor2"
"apalavrar","Actor2"
"aparceirar","Actor2"
"aquiescer","Actor2"
"arcar","Actor2"
"arengar","Actor2"
"argumentar","Actor2"
"argüir","Actor2"
"armar","Actor2"
"arquitetar","Actor2"
"assentar","Actor2"
"assentir","Actor2"
"atuar1","Actor2"
"batalhar","Actor2"
"beijar","Actor2"
"bisbilhotar","Actor2"
"brigar","Actor2"
"cabalar","Actor2"
"cacarejar","Actor2"
"cantar","Actor2"
"cavaquear","Actor2"
"ceder","Actor2"
"chorar","Actor2"
"colidir","Actor2"
"combater","Actor2"
"combinar","Actor2"
"comentar","Actor2"
"comerciar","Actor2"
"compactuar","Actor2"
"comparticipar","Actor2"
"compartilhar","Actor2"
"compartir","Actor2"
"competir","Actor2"
"comprazer","Actor2"
"comungar","Actor2"
"comunicar","Actor2"
"concertar","Actor2"
"conchegar","Actor2"
"concordar","Actor2"
"condescender","Actor2"
"confabular","Actor2"
"conferenciar","Actor2"
"conflitar","Actor2"
"conjurar","Actor2"
"consentir","Actor2"
"conspirar","Actor2"
"consultar","Actor2"
"contemporizar","Actor2"
"contender","Actor2"
"contestar","Actor2"
"contradizer","Actor2"
"contratar","Actor2"
"convencionar","Actor2"
"conversar","Actor2"
"convir","Actor2"
"copular","Actor2"
"coscuvilhar","Actor2"
"cruzar","Actor2"
"cumprir","Actor2"
"dar","Actor2"
"debater","Actor2"
"defrontar","Actor2"
"deparar","Actor2"
"desagregar","Actor2"
"desapoiar","Actor2"
"descasar","Actor2"
"desconvir","Actor2"
"desdizer","Actor2"
"desirmanar","Actor2"
"desligar","Actor2"
"desposar","Actor2"
"desquitar","Actor2"
"dialogar","Actor2"
"digladiar","Actor2"
"discordar","Actor2"
"discutir","Actor2"
"disputar","Actor2"
"dissociar","Actor2"
"divorciar","Actor2"
"emparceirar","Actor2"
"encarar","Actor2"
"encontrar","Actor2"
"encrencar","Actor2"
"escaramuçar","Actor2"
"esgrimir","Actor2"
"esposar","Actor2"
"estabelecer","Actor2"
"estar","Actor2"
"estipular","Actor2"
"falar","Actor2"
"firmar","Actor2"
"fofocar","Actor2"
"freqüentar","Actor2"
"futricar","Actor2"
"fuxicar","Actor2"
"galrar","Actor2"
"garrular","Actor2"
"gladiar","Actor2"
"gralhar","Actor2"
"grazinar","Actor2"
"guerrear","Actor2"
"harmonizar","Actor2"
"hostilizar","Actor2"
"ilidir","Actor2"
"intrigar","Actor2"
"irmanar","Actor2"
"legiferar","Actor2"
"legislar","Actor2"
"ler","Actor2"
"linguajar","Actor2"
"litigar","Actor2"
"lutar","Actor2"
"manobrar","Actor2"
"maquinar","Actor2"
"matraquear","Actor2"
"mesquinhar","Actor2"
"mexericar","Actor2"
"militar","Actor2"
"molecar","Actor2"
"namorar","Actor2"
"namoricar","Actor2"
"namoriscar","Actor2"
"negociar","Actor2"
"obedecer","Actor2"
"obrar","Actor2"
"obtemperar","Actor2"
"ombrear","Actor2"
"operar","Actor2"
"oscular","Actor2"
"pactuar","Actor2"
"palavrear","Actor2"
"palestrar","Actor2"
"palrar","Actor2"
"palrear","Actor2"
"papagaiar","Actor2"
"papaguear","Actor2"
"papear","Actor2"
"paqueirar","Actor2"
"paquerar","Actor2"
"parlamentar","Actor2"
"parolar","Actor2"
"participar","Actor2"
"partilhar","Actor2"
"pechinchar","Actor2"
"pelejar","Actor2"
"pleitear","Actor2"
"porfiar","Actor2"
"praticar","Actor2"
"preparar","Actor2"
"proceder","Actor2"
"prosear","Actor2"
"pugnar","Actor2"
"punir2","Actor2"
"querelar","Actor2"
"querer","Actor2"
"rabular","Actor2"
"rebater","Actor2"
"recalcitrar","Actor2"
"redargüir","Actor2"
"refutar","Actor2"
"regatear","Actor2"
"relaxar","Actor2"
"relevar","Actor2"
"replicar","Actor2"
"repudiar","Actor2"
"responder","Actor2"
"rinhar","Actor2"
"rivalizar","Actor2"
"rixar","Actor2"
"separar","Actor2"
"suar","Actor2"
"subscrever","Actor2"
"tagarelar","Actor2"
"tecer","Actor2"
"topar","Actor2"
"trabalhar","Actor2"
"traçar1","Actor2"
"tramar","Actor2"
"transigir","Actor2"
"tratar","Actor2"
"treler","Actor2"
"urdir","Actor2"
"virar","Actor2"
"zarelhar","Actor2"
"ab-rogar","Agent"
"abafar","Agent"
"abaixar","Agent"
"abalançar","Agent"
"abalar","Agent"
"abalroar","Agent"
"abanar","Agent"
"abandonar","Agent"
"abarbar","Agent"
"abarcar","Agent"
"abarrotar","Agent"
"abastar","Agent"
"abastardar","Agent"
"abastecer","Agent"
"abater","Agent"
"abemolar","Agent"
"abençoar","Agent"
"abichar","Agent"
"abiscoitar","Agent"
"abjurar","Agent"
"abluir","Agent"
"abocanhar","Agent"
"abocar","Agent"
"abolir","Agent"
"abonar","Agent"
"abortar","Agent"
"abotoar","Agent"
"abraçar","Agent"
"abrandar","Agent"
"abranger","Agent"
"abrasar","Agent"
"abreviar","Agent"
"abrigar","Agent"
"abrir","Agent"
"abrolhar","Agent"
"absolver","Agent"
"absorver","Agent"
"abusar","Agent"
"acabar","Agent"
"academiar","Agent"
"academicizar","Agent"
"açaimar","Agent"
"acalentar","Agent"
"acalmar","Agent"
"acalorar","Agent"
"acamar","Agent"
"acanhar","Agent"
"acarar","Agent"
"acarear","Agent"
"acariciar","Agent"
"acarinhar","Agent"
"acasalar","Agent"
"acautelar","Agent"
"acavalar","Agent"
"aceder","Agent"
"aceitar","Agent"
"acelerar","Agent"
"acenar","Agent"
"acender","Agent"
"acentuar","Agent"
"acetificar","Agent"
"achanar","Agent"
"achar","Agent"
"achatar","Agent"
"acidificar","Agent"
"aclamar","Agent"
"aclarar","Agent"
"acobertar","Agent"
"acochar","Agent"
"acocorar","Agent"
"acoimar","Agent"
"acoitar","Agent"
"acolchetar","Agent"
"acometer","Agent"
"acomodar","Agent"
"acompanhar","Agent"
"aconchegar","Agent"
"acondicionar","Agent"
"aconselhar","Agent"
"acontecer","Agent"
"acordar1","Agent"
"acoroçoar","Agent"
"acorrentar","Agent"
"acorrer","Agent"
"acostar","Agent"
"acoutar","Agent"
"acrescentar","Agent"
"acrisolar","Agent"
"açucarar","Agent"
"acudir","Agent"
"acumular","Agent"
"acurvar","Agent"
"acusar","Agent"
